Gene,t_stat,p_value,mean_PD,mean_Influenza,FDR_BH,log2FC
ARHGAP25,31.060614699838922,1.081800110132795e-12,1172.1587647499998,234.82910817500002,4.1305095114161267e-10,2.314584562968954
STK39,27.17426030720572,1.1727418757637692e-12,679.9559346666667,129.59389291666668,4.3460434219480855e-10,2.3824740106565523
PCMTD2,17.25422094546015,1.2357991307760925e-12,507.8826315,151.67654595833332,4.448876870793933e-10,1.736854498455851
TYSND1,17.727174002851786,1.730092260251455e-12,411.9349757333333,94.85382265297619,5.917187758188527e-10,2.107006747582002
SLC9A9,17.707488630649074,1.7375868813728213e-12,189.22140050000002,60.899805574999995,5.917187758188527e-10,1.6196727799070612
CD3D,51.60399738662253,1.8577293225053033e-12,2353.5444149166665,53.41673699166667,6.159839332517584e-10,5.435253676533611
USP1,17.64771394911664,1.992226020645443e-12,453.1399398333333,172.33094854166663,6.275511965033145e-10,1.3896076485327704
LAPTM5,18.539591446883563,1.970373006122209e-12,3613.568849083333,623.8158448333334,6.275511965033145e-10,2.532320626064923
CTDSP2,16.60548746549271,2.707799362535644e-12,2073.6258208333334,382.26091504166664,8.123398087606932e-10,2.4364523710114447
MID2,17.362001366241323,2.665947067652074e-12,101.14714215,55.670338125,8.123398087606932e-10,0.849983125773071
SKP2,18.851821188622985,3.591852334441048e-12,329.73455275,124.04161725416665,1.0524962654408652e-09,1.403265432733769
THAP12,16.457922463878763,4.016033418924691e-12,1334.5458105416667,560.1309014166667,1.1500459336011614e-09,1.2510201935233063
DIAPH1,17.67783744124346,4.7011339282547336e-12,1134.189092875,318.7890060416667,1.3163174999113255e-09,1.8277403861967692
NHLRC3,16.786307029332356,4.941091095029504e-12,441.48846175,133.34118007499998,1.353429299942864e-09,1.7197382292779517
CD48,17.249529446387267,5.262007608633099e-12,5120.309580566667,655.1812968333334,1.4106658695484477e-09,2.9643463935565872
YPEL3,21.826360753666748,6.1491852356506815e-12,1147.5052933499996,164.91782511666668,1.614161124358304e-09,2.7912167126019725
ARRB1,18.245750327606448,7.2706097381010256e-12,392.1340408333334,88.90557441666667,1.869585361225978e-09,2.1285388147059825
EIF3K,17.958786756074037,7.972262565854978e-12,2911.75010395,1361.99963575,1.9696178103877004e-09,1.0955967558280797
LDHB,15.448079449291694,7.965688963782144e-12,4596.300623275,1382.1271613333333,1.9696178103877004e-09,1.7328532084395007
ANXA2R,22.2191396208436,8.20207990121681e-12,979.0732466666665,161.39242433333337,1.98742705298715e-09,2.593405242549335
TIMP1,15.354155016948534,9.037441572500868e-12,2932.8015305,404.55827908333333,2.148523845537942e-09,2.8547901260561357
GSTK1,18.24073343313366,9.435472856874177e-12,3264.2982427083334,745.9150240833334,2.1664944985911793e-09,2.128198746080601
GRK2,17.165536825855682,9.456920430358323e-12,3054.3158919166663,815.5875298333334,2.1664944985911793e-09,1.9036421079764434
BAG5,17.259619151315714,9.864452883802681e-12,410.7660619166667,237.45468100000002,2.2195018988556033e-09,0.7881098228795649
RCSD1,28.180952093297048,1.0218334292412446e-11,732.289375897436,115.89983671666667,2.2587896856911722e-09,2.6491097226149494
SLC46A2,15.73243350895917,1.1167424041332622e-11,234.066498125,72.17438168452381,2.426026602082604e-09,1.6836583843474129
UBE2E3,21.96364684231443,1.1370486521890538e-11,469.253814,164.3969988184524,2.428273392810522e-09,1.5075065882109726
DGKD,16.063151969163894,1.2176087555054332e-11,433.1186840416666,113.88932883333334,2.5569783865614094e-09,1.9178447124994857
