Gene,t_stat,p_value,mean_PD,mean_Influenza,FDR_BH,log2FC
RAC1,15.8985527569029,4.549971940759516e-07,1741.3719475000003,824.6242930000001,0.00010876827660489327,1.0774953056446783
TRIM56,-18.78510540297497,4.821344817457347e-07,169.53364916666666,479.6487843333333,0.00010949274080445635,-1.4949266494742677
TSPO,17.678395907674837,4.756518305236398e-07,3381.786191,645.6684906666667,0.00010949274080445635,2.3871137734960133
ARHGAP15,14.761848739069935,4.7530885856016864e-07,2081.4244341666663,715.8901813333333,0.00010949274080445635,1.5384401068293592
SVIL,17.015572393699365,5.000726471903009e-07,289.49023900000003,91.567876,0.00011170475230516459,1.6499061629274339
FXYD5,23.814935125813005,5.112561859007804e-07,4615.127687666667,507.9195513333333,0.0001123609159529683,3.181173609230143
GTF3A,28.198136153393968,5.28779116595608e-07,2349.756785,644.5847886666667,0.00011436736893225006,1.8644467907790752
OSTF1,14.29508967330419,5.658464190606886e-07,1712.6747060000002,927.3315166666667,0.00011861882009416835,0.8843812758598375
LRRC37B,34.82174272461619,5.573085372697776e-07,493.6073137666667,99.50116763333332,0.00011861882009416835,2.2990713101542823
S100A4,24.018837814723977,6.17215491601425e-07,12488.983425000002,583.9635246666667,0.00012275266530662124,4.416281083756868
ERP29,14.150760513387931,6.049618691564412e-07,1592.9975536666666,576.9544159999999,0.00012275266530662124,1.4636218000706052
TMEM173,14.314917233394409,6.603032702490012e-07,848.2534966666668,191.5458263333333,0.00012275266530662124,2.140993401893451
THAP12,14.266815433767043,6.756531555846613e-07,1370.2735046666667,563.2311466666666,0.00012275266530662124,1.2811581368942573
DEF6,16.181171903948506,6.489864055506846e-07,1024.0724833333331,304.16480999999993,0.00012275266530662124,1.7480654140722631
PRKCB,15.577210960675744,6.529626923505121e-07,1152.6364875,281.6200229333333,0.00012275266530662124,2.0292531145286095
RNASET2,15.31327344563811,6.307729736074217e-07,5682.145092999999,1233.4985556666668,0.00012275266530662124,2.202764399885636
PIP4K2A,20.671166258543558,6.750266723689155e-07,3167.5150999999996,698.1559367,0.00012275266530662124,2.1801207218815577
FAM117B,16.19692528968192,6.35277040682018e-07,795.5433039999999,163.62211666666667,0.00012275266530662124,2.274594623758225
MRPL22,-17.19398352076109,5.973532411065728e-07,347.94454333333334,734.2727833333332,0.00012275266530662124,-1.075281811854067
LINC00921,14.10441483235193,7.406901721966372e-07,235.582224,70.253583,0.00012400091909345735,1.731307211155178
RASA3,14.486946561645773,7.71306572478741e-07,109.65645666666667,54.44326916666667,0.00012400091909345735,0.9970034006370749
RNF5P1,-19.393785295879685,7.124439732695046e-07,180.680231,433.9952781666667,0.00012400091909345735,-1.2595982952313003
SEC13,-14.031431910470316,6.94987042042523e-07,196.75739133333332,474.66751066666666,0.00012400091909345735,-1.2662218712928421
ATP5G2,15.054366524319947,7.77121977702101e-07,1747.9732721333335,494.76926866666673,0.00012400091909345735,1.8187674913874226
HMGB1,17.158295480475203,7.63239551959663e-07,527.8781246666666,128.299685,0.00012400091909345735,2.032216543740744
RAB31,15.314858392567562,7.68402632432993e-07,2368.0040333333336,722.2152773333333,0.00012400091909345735,1.7117835958872423
C21ORF59,14.436969414048326,7.826272598001858e-07,264.8352813333333,125.9896732,0.00012400091909345735,1.0658214082329156
SPCS3,-16.22512993071053,7.475273983836442e-07,156.25985933333334,427.76490299999995,0.00012400091909345735,-1.4470363482849669
ITM2B,14.750053900429727,7.760535863070923e-07,3460.9265159999995,661.5899266666668,0.00012400091909345735,2.385386926454297
ARHGEF1,20.814513187723062,7.694839216101416e-07,421.9834366666667,125.67576966666665,0.00012400091909345735,1.7394605763665707
MICB,-14.376465008997966,8.102969140204893e-07,266.7604928333334,595.8202673333333,0.00012690926149934697,-1.1563534171694378
FAM120A,14.854924054939795,8.456332745845936e-07,2846.372389,893.5565474333332,0.000129467404488648,1.670386598880393
HDGF,14.130360386338134,8.379047397646786e-07,486.21786000000003,211.7346176,0.000129467404488648,1.1955122018588202
SH3GL1,-16.564011915803963,8.900505130997824e-07,92.014628,218.4614403666667,0.00013475364768330704,-1.2384379533530065
TMEM115,-17.857356491907492,9.287768269846052e-07,175.53502466666666,353.47906299999994,0.00013743089271162355,-1.0057459748903064
IL6ST,15.23705368370312,9.189118818915976e-07,631.870296,166.93644733333332,0.00013743089271162355,1.9139944828055242
NAALADL1,13.713612627077561,9.480774926532082e-07,223.95559442857143,112.51631733333333,0.00013743089271162355,0.9867405540614653
MBLAC2,28.012047867200142,9.434610203801442e-07,148.83814999999998,63.29621013333333,0.00013743089271162355,1.220599385184408
ZNF398,13.53568587486366,1.006450588277879e-06,226.49168366666672,110.59097533333333,0.000144356797009204,1.0275934489807739
KIF2A,14.990138800410344,1.040189196945113e-06,498.49437150000006,242.21390933333333,0.00014625819394134648,1.0382426827971543
EIF4B,18.476778780712525,1.0411745789160875e-06,4917.824856666666,1424.4151786666666,0.00014625819394134648,1.7869314940697425
FAM170B,13.427707533778593,1.0942275172845648e-06,291.1483766666667,79.6390175,0.00015138363432278605,1.8571513065517644
SCN3A,13.122450902860558,1.0998810948154866e-06,66.48703516666667,50.64194266666667,0.00015138363432278605,0.3860671018266775
NAA25,-25.6096374208408,1.141405228825778e-06,114.12559933333333,479.6817143333334,0.00015247831027431422,-2.0618732559223227
ADD3,24.460710321646474,1.1339210461357901e-06,1917.8215626666668,234.50229,0.00015247831027431422,3.026407563323686
OSBPL8,17.008432703551794,1.1308013898673305e-06,660.1532243333332,214.829569,0.00015247831027431422,1.615092129662437
ITPKB,15.34967569967104,1.1749871928554938e-06,288.0117496666667,88.77276733333333,0.00015296741314369287,1.6867783728211876
INO80C,-18.161536273383174,1.178744927351222e-06,156.9073216666667,439.86383166666667,0.00015296741314369287,-1.4812550575625139
RCAN1,17.028293740201786,1.1742733296215617e-06,176.4149733333333,51.763113499999996,0.00015296741314369287,1.7495261700059652
ZNF217,18.321087960183423,1.209555308406637e-06,993.11019,336.1783796666667,0.0001552446220169931,1.5598937413809306
ITGAL,13.691083000099741,1.2190793010287878e-06,820.0851650000001,163.90156629999998,0.0001552446220169931,2.3159267675639574
DYRK1A,19.866470940247844,1.2336742195574907e-06,721.3017226666665,205.64898266666668,0.00015564856403417008,1.805419349825506
PLEC,14.370701419965632,1.2495967703796707e-06,91.70335133333333,60.819894250000004,0.00015621106048801275,0.5845503085839532
PTPN12,21.94144667829783,1.323322982154e-06,793.0214670666667,113.60295333333333,0.00015959921318449018,2.792533789404332
PCMT1,13.101365442388298,1.2904945918192144e-06,2008.7666364166664,744.0658129999999,0.00015959921318449018,1.4315882207741666
ST6GAL1,21.145411547801327,1.3015269242131923e-06,1330.9282639999997,158.645283,0.00015959921318449018,3.0605745510466607
AMER1,14.129879699708745,1.3235513789701593e-06,136.428582,68.81903706666667,0.00015959921318449018,0.9769897182000413
BIN2,15.745445061194786,1.360892609452074e-06,228.37436666666667,55.08781466666667,0.000161248023446904,2.031944896570275
SUCLG2,12.964091708156422,1.3596134446861712e-06,581.39365,183.43708833333332,0.000161248023446904,1.658865829975535
TIMP1,17.30845988424593,1.393944795045196e-06,2758.8924899999997,268.58027100000004,0.0001637404463559124,3.3558252456539037
CX3CR1,43.85320958624003,1.5023289620270807e-06,3423.9361966666665,70.92172766666665,0.00016654852475860935,5.57350562510418
C14ORF2,12.588813854669503,1.5098489681276266e-06,413.35564866666664,223.31288800000002,0.00016654852475860935,0.8853570762093526
ARFGEF1,13.742228711683987,1.4761096606335883e-06,426.66257399999995,239.55240050000003,0.00016654852475860935,0.8301217619735004
CD3D,44.11283258363032,1.4987918420965696e-06,2302.7384293333334,51.833843333333334,0.00016654852475860935,5.4463707488307875
ARPC3,12.63212382919349,1.4969094165384799e-06,3985.347617333333,1284.0221380000003,0.00016654852475860935,1.6332743075229654
SLC9A7,-12.562255503892592,1.5113230619877498e-06,169.3847278,554.2838,0.00016654852475860935,-1.704429279588357
FAM53B,12.80813983077978,1.4636406541623482e-06,675.6254131666667,212.98973666666666,0.00016654852475860935,1.6608157598585676
LOC100129550,24.377445322288693,1.5156331329860237e-06,358.9714906666667,59.695574,0.00016654852475860935,2.568219429035085
CAMK2G,12.702445600147414,1.5494396372520383e-06,322.33304799999996,90.96473266666666,0.00016756082934282757,1.8138683567370029
P2RX7,12.53590405880848,1.5432223534995923e-06,161.55385883333332,63.985305333333336,0.00016756082934282757,1.3227323705580742
HHEX,16.754541676770547,1.7050903059645317e-06,649.1158706666668,122.45165966666669,0.00017743364465512473,2.3967506417390494
CNBP,16.43795081187125,1.6965779530014615e-06,1651.3813633333332,479.4428993333333,0.00017743364465512473,1.7821098118047232
LUC7L2,-12.418417679333022,1.664568961921272e-06,79.39989466666665,158.53028333333333,0.00017743364465512473,-0.988564797652776
JMJD7-PLA2G4B,17.24497248019526,1.7010414765698166e-06,532.1710553333335,133.55690983333335,0.00017743364465512473,1.986381982985094
LPGAT1,12.384024784620822,1.7180404630399523e-06,193.17417833333334,106.199535,0.00017743364465512473,0.8570527132463921
SCAF4,-12.814506602937508,1.7188640169144622e-06,179.26990066666667,383.60408049999995,0.00017743364465512473,-1.0932155364495078
FAM172A,13.853830692387229,1.758002671037524e-06,297.78869466666663,161.67027216666665,0.00018010935635757368,0.8771749376022724
IL27RA,22.965108425140286,1.7776134267708346e-06,896.1474086666667,179.48193899999998,0.00018075940711327905,2.3134905787664337
LSM14A,16.014794824013304,1.836302894725071e-06,1069.0857906666665,515.24699,0.00018534417217425052,1.0515930946965604
TIMM23,-14.21843989207508,1.9294289299119817e-06,500.2937263333333,918.2126543333334,0.00019190071970058876,-0.8747424799951862
